Timestamp,Saved File,Topic,Size (Bytes)
2025-08-20_14-53-18,received_images/2025-08-20/cam2/cam2_2025-08-20_14-53-18.jpg,cameras/cam2/image,3066
2025-08-20_14-53-50,received_images/2025-08-20/cam2/cam2_2025-08-20_14-53-50.jpg,cameras/cam2/image,3066
2025-08-20_14-56-30,received_images/2025-08-20/cam2/cam2_2025-08-20_14-56-30.jpg,cameras/cam2/image,3066
2025-08-21_08-37-26,received_images/2025-08-21/cam2/cam2_2025-08-21_08-37-26.jpg,cameras/cam2/image,3922
2025-08-21_08-39-32,received_images/2025-08-21/cam2/cam2_2025-08-21_08-39-32.jpg,cameras/cam2/image,3063
2025-08-21_08-40-42,received_images/2025-08-21/cam2/cam2_2025-08-21_08-40-42.jpg,cameras/cam2/image,3063
2025-08-21_08-42-43,received_images/2025-08-21/cam2/cam2_2025-08-21_08-42-43.jpg,cameras/cam2/image,3063
2025-08-21_08-49-10,received_images/2025-08-21/cam2/cam2_2025-08-21_08-49-10.jpg,cameras/cam2/image,2980
2025-08-21_08-49-25,received_images/2025-08-21/cam2/cam2_2025-08-21_08-49-25.jpg,cameras/cam2/image,5059
2025-08-21_08-50-19,received_images/2025-08-21/cam2/cam2_2025-08-21_08-50-19.jpg,cameras/cam2/image,5738
2025-08-21_09-05-22,received_images/2025-08-21/cam2/cam2_2025-08-21_09-05-22.jpg,cameras/cam2/image,2872
2025-08-21_09-05-41,received_images/2025-08-21/cam2/cam2_2025-08-21_09-05-41.jpg,cameras/cam2/image,2872
2025-08-21_09-06-21,received_images/2025-08-21/cam2/cam2_2025-08-21_09-06-21.jpg,cameras/cam2/image,3049
2025-08-21_09-06-55,received_images/2025-08-21/cam2/cam2_2025-08-21_09-06-55.jpg,cameras/cam2/image,3049
2025-08-21_09-07-29,received_images/2025-08-21/cam2/cam2_2025-08-21_09-07-29.jpg,cameras/cam2/image,3033
2025-08-21_09-14-03,received_images/2025-08-21/cam2/cam2_2025-08-21_09-14-03.jpg,cameras/cam2/image,2951
2025-08-21_09-16-02,received_images/2025-08-21/cam2/cam2_2025-08-21_09-16-02.jpg,cameras/cam2/image,2951
2025-08-21_09-16-15,received_images/2025-08-21/cam2/cam2_2025-08-21_09-16-15.jpg,cameras/cam2/image,5079
2025-08-21_09-16-37,received_images/2025-08-21/cam2/cam2_2025-08-21_09-16-37.jpg,cameras/cam2/image,5005
2025-08-21_09-17-04,received_images/2025-08-21/cam2/cam2_2025-08-21_09-17-04.jpg,cameras/cam2/image,2925
2025-08-21_09-17-28,received_images/2025-08-21/cam2/cam2_2025-08-21_09-17-28.jpg,cameras/cam2/image,5109
2025-08-21_09-17-42,received_images/2025-08-21/cam2/cam2_2025-08-21_09-17-42.jpg,cameras/cam2/image,5113
2025-08-21_09-17-54,received_images/2025-08-21/cam2/cam2_2025-08-21_09-17-54.jpg,cameras/cam2/image,5113
2025-08-21_09-18-06,received_images/2025-08-21/cam2/cam2_2025-08-21_09-18-06.jpg,cameras/cam2/image,5113
2025-08-21_09-18-13,received_images/2025-08-21/cam2/cam2_2025-08-21_09-18-13.jpg,cameras/cam2/image,5113
2025-08-21_09-18-52,received_images/2025-08-21/cam2/cam2_2025-08-21_09-18-52.jpg,cameras/cam2/image,5094
2025-08-21_09-22-06,received_images/2025-08-21/cam2/cam2_2025-08-21_09-22-06.jpg,cameras/cam2/image,4855
2025-08-21_09-22-24,received_images/2025-08-21/cam2/cam2_2025-08-21_09-22-24.jpg,cameras/cam2/image,4075
2025-08-21_09-22-32,received_images/2025-08-21/cam2/cam2_2025-08-21_09-22-32.jpg,cameras/cam2/image,4065
2025-08-21_09-22-59,received_images/2025-08-21/cam2/cam2_2025-08-21_09-22-59.jpg,cameras/cam2/image,5074
2025-08-21_09-47-15,received_images/2025-08-21/cam2/cam2_2025-08-21_09-47-15.jpg,cameras/cam2/image,1751
2025-08-21_09-47-42,received_images/2025-08-21/cam2/cam2_2025-08-21_09-47-42.jpg,cameras/cam2/image,2018
2025-08-21_09-47-52,received_images/2025-08-21/cam2/cam2_2025-08-21_09-47-52.jpg,cameras/cam2/image,1986
2025-08-21_09-47-58,received_images/2025-08-21/cam2/cam2_2025-08-21_09-47-58.jpg,cameras/cam2/image,2528
2025-08-21_10-09-31,received_images/2025-08-21/cam2/cam2_2025-08-21_10-09-31.jpg,cameras/cam2/image,1769
2025-08-21_10-10-48,received_images/2025-08-21/cam2/cam2_2025-08-21_10-10-48.jpg,cameras/cam2/image,3008
2025-08-21_10-10-55,received_images/2025-08-21/cam2/cam2_2025-08-21_10-10-55.jpg,cameras/cam2/image,4087
2025-08-21_10-11-08,received_images/2025-08-21/cam2/cam2_2025-08-21_10-11-08.jpg,cameras/cam2/image,3008
2025-08-21_10-11-33,received_images/2025-08-21/cam2/cam2_2025-08-21_10-11-33.jpg,cameras/cam2/image,5686
2025-08-21_10-20-19,received_images/2025-08-21/cam2/cam2_2025-08-21_10-20-19.jpg,cameras/cam2/image,5110
2025-08-21_16-00-44,received_images/2025-08-21/cam2/cam2_2025-08-21_16-00-44.jpg,cameras/cam2/image,5832
2025-08-21_16-01-10,received_images/2025-08-21/cam2/cam2_2025-08-21_16-01-10.jpg,cameras/cam2/image,5832
2025-08-21_16-02-46,received_images/2025-08-21/cam2/cam2_2025-08-21_16-02-46.jpg,cameras/cam2/image,5110
2025-08-21_16-03-37,received_images/2025-08-21/cam2/cam2_2025-08-21_16-03-37.jpg,cameras/cam2/image,5101
2025-08-21_16-04-17,received_images/2025-08-21/cam2/cam2_2025-08-21_16-04-17.jpg,cameras/cam2/image,5091
2025-08-21_16-04-35,received_images/2025-08-21/cam2/cam2_2025-08-21_16-04-35.jpg,cameras/cam2/image,5083
2025-08-21_16-04-51,received_images/2025-08-21/cam2/cam2_2025-08-21_16-04-51.jpg,cameras/cam2/image,5105
2025-08-21_16-05-17,received_images/2025-08-21/cam2/cam2_2025-08-21_16-05-17.jpg,cameras/cam2/image,5091
