Timestamp,Saved File,Topic,Size (Bytes)
2025-08-06_16-45-58,received_images/2025-08-06/heartbeat/heartbeat_2025-08-06_16-45-58.jpg,system/heartbeat,5
2025-08-06_16-45-58,received_images/2025-08-06/heartbeat/heartbeat_2025-08-06_16-45-58.jpg,system/heartbeat,5
2025-08-06_16-46-54,received_images/2025-08-06/heartbeat/heartbeat_2025-08-06_16-46-54.jpg,system/heartbeat,5
2025-08-06_16-46-58,received_images/2025-08-06/heartbeat/heartbeat_2025-08-06_16-46-58.jpg,system/heartbeat,5
2025-08-06_16-47-54,received_images/2025-08-06/heartbeat/heartbeat_2025-08-06_16-47-54.jpg,system/heartbeat,5
2025-08-06_16-47-58,received_images/2025-08-06/heartbeat/heartbeat_2025-08-06_16-47-58.jpg,system/heartbeat,5
2025-08-06_16-48-54,received_images/2025-08-06/heartbeat/heartbeat_2025-08-06_16-48-54.jpg,system/heartbeat,5
2025-08-06_16-48-58,received_images/2025-08-06/heartbeat/heartbeat_2025-08-06_16-48-58.jpg,system/heartbeat,5
