Timestamp,Camera,Saved File,Topic,Size (Bytes)
2025-08-06_14-49-42,cam1,received_images/2025-08-06/cam1/cam1_2025-08-06_14-49-42.jpg,cameras/cam1/image,5065
2025-08-06_14-56-46,cam1,received_images/2025-08-06/cam1/cam1_2025-08-06_14-56-46.jpg,cameras/cam1/image,3039
2025-08-06_16-32-15,cam1,received_images/2025-08-06/cam1/cam1_2025-08-06_16-32-15.jpg,cameras/cam1/image,5111
2025-08-06_16-32-46,cam1,received_images/2025-08-06/cam1/cam1_2025-08-06_16-32-46.jpg,cameras/cam1/image,4957
2025-08-06_16-34-00,cam1,received_images/2025-08-06/cam1/cam1_2025-08-06_16-34-00.jpg,cameras/cam1/image,5071
2025-08-06_16-39-13,cam1,received_images/2025-08-06/cam1/cam1_2025-08-06_16-39-13.jpg,cameras/cam1/image,2788
2025-08-06_16-39-15,cam1,received_images/2025-08-06/cam1/cam1_2025-08-06_16-39-15.jpg,cameras/cam1/image,2796
2025-08-06_16-39-27,cam1,received_images/2025-08-06/cam1/cam1_2025-08-06_16-39-27.jpg,cameras/cam1/image,2814
2025-08-06_16-39-31,cam1,received_images/2025-08-06/cam1/cam1_2025-08-06_16-39-31.jpg,cameras/cam1/image,2814
2025-08-06_16-39-31,cam1,received_images/2025-08-06/cam1/cam1_2025-08-06_16-39-31.jpg,cameras/cam1/image,2814
2025-08-06_16-39-35,cam1,received_images/2025-08-06/cam1/cam1_2025-08-06_16-39-35.jpg,cameras/cam1/image,2814
2025-08-06_16-39-38,cam1,received_images/2025-08-06/cam1/cam1_2025-08-06_16-39-38.jpg,cameras/cam1/image,2814
2025-08-06_16-39-42,cam1,received_images/2025-08-06/cam1/cam1_2025-08-06_16-39-42.jpg,cameras/cam1/image,2814
2025-08-06_16-39-47,cam1,received_images/2025-08-06/cam1/cam1_2025-08-06_16-39-47.jpg,cameras/cam1/image,2814
2025-08-06_16-39-49,cam1,received_images/2025-08-06/cam1/cam1_2025-08-06_16-39-49.jpg,cameras/cam1/image,2814
2025-08-06_16-39-51,cam1,received_images/2025-08-06/cam1/cam1_2025-08-06_16-39-51.jpg,cameras/cam1/image,2814
2025-08-06_16-40-03,cam1,received_images/2025-08-06/cam1/cam1_2025-08-06_16-40-03.jpg,cameras/cam1/image,2814
2025-08-06_16-40-05,cam1,received_images/2025-08-06/cam1/cam1_2025-08-06_16-40-05.jpg,cameras/cam1/image,2814
2025-08-06_16-40-05,cam1,received_images/2025-08-06/cam1/cam1_2025-08-06_16-40-05.jpg,cameras/cam1/image,2814
2025-08-06_16-40-08,cam1,received_images/2025-08-06/cam1/cam1_2025-08-06_16-40-08.jpg,cameras/cam1/image,4051
2025-08-06_16-40-11,cam1,received_images/2025-08-06/cam1/cam1_2025-08-06_16-40-11.jpg,cameras/cam1/image,3070
2025-08-06_16-40-11,cam1,received_images/2025-08-06/cam1/cam1_2025-08-06_16-40-11.jpg,cameras/cam1/image,3070
2025-08-06_16-40-21,cam1,received_images/2025-08-06/cam1/cam1_2025-08-06_16-40-21.jpg,cameras/cam1/image,3070
